Id,Doctor_Id,Hospital_Affiliations
1709,971,Private Office
1710,972,Lahey Clinic
1711,973,Lahey Clinic
1712,974,South Shore Hospital
1713,975,Children's Hospital Boston
1714,976,Mount Auburn Hospital
1715,976,Beth Israel Deaconess Medical Center
1716,977,Cambridge Health Alliance
1717,978,Lahey Clinic
1718,979,Cooley Dickinson Hospital (The)
1719,980,Massachusetts Eye & Ear Infirmary
1720,980,Tufts - New England Medical Center Hospitals
1721,980,Lahey Clinic
1722,981,Lahey Clinic
1723,981,Lahey Clinic
1724,982,Lahey Clinic
1725,983,Winchester Hospital
1726,984,Lahey Clinic
1727,985,Massachusetts General Hospital
1728,986,Melrose-Wakefield Hospital
1729,986,Mount Auburn Hospital
1730,986,Winchester Hospital
1731,986,New England Surgicare
1732,986,Hallmark Health System
1733,986,Inc.
1734,987,Mount Auburn Hospital
1735,988,Quincy Hospital
1736,989,Children's Hospital Boston
1737,989,Harvard University Health Services
1738,989,Brigham & Women's Hospital
1739,990,Beverly Hospital
1740,990,Lahey Clinic
1741,991,Telemedicine
1742,991,Harvard University Health Services
1743,992,Massachusetts General Hospital
1744,992,Cambridge Health Alliance - Somerville Campus
1745,992,Cambridge Health Alliance - Cambridge Campus
1746,993,Lahey Clinic
1747,994,Harvard University Health Services
1748,994,Brigham & Women's Hospital
1749,995,Children's Hospital Boston
1750,995,Franciscan Hospital for Children
1751,995,Inc
1752,995,Brigham & Women's Hospital
1753,996,Mount Auburn Hospital
1754,996,Harvard Vanguard Medical Associates
1755,997,Private Office
1756,997,Private Office
1757,997,Primary Office
1758,998,Mount Auburn Hospital
1759,998,Part of Beth Israel Lahey Health
1760,999,Private Office
1761,999,Cambridge Health Alliance
1762,1000,Mount Auburn Hospital
1763,1001,Melrose-Wakefield Hospital
1764,1001,Mount Auburn Hospital
1765,1002,South Shore Hospital
1766,1003,Steward Carney Hospital
1767,1003,South Shore Hospital
1768,1003,New England Eye Surgical Center
1769,1003,Steward St. Elizabeth's Medical Center of Boston
1770,1003,Beth Israel Deaconess Hospital - Milton
1771,1004,U Mass Health System
1772,1004,Marlborough Hosp
1773,1005,Lahey Clinic
1774,1006,East Cambridge Health Center
1775,1007,Massachusetts General Hospital
1776,1007,Bay State Community Health Services
1777,1007,Massachusetts General Hospital
1778,1008,Harvard University Health Services
1779,1009,Private Practice
1780,1009,Private Practice
1781,1010,MIT
1782,1011,U Mass Health System
1783,1011,Marlborough Hosp
1784,1011,Saint Vincent Hospital
1785,1011,U-Mass Memorial Medical Center
1786,1011,office
1787,1011,Offfice/private practice
1788,1012,Mount Auburn Hospital
1789,1013,Steward St. Elizabeth's Medical Center of Boston
1790,1013,Steward Medical Group
1791,1014,Cambridge Health Alliance - Cambridge Campus
1792,1014,Tewksbury Hospital
1793,1014,Columbia/MetroWest Medical Center
1794,1015,Cambridge Health Alliance - Somerville Campus
1795,1015,Cambridge Health Alliance - Whidden Campus
1796,1015,Cambridge Health Alliance - Cambridge Campus
1797,1016,Tufts Medical Center
1798,1017,Mount Auburn Hospital
1799,1017,Beth Israel Deaconess Medical Center
1800,1018,Cambridge Health Alliance - Cambridge Campus
1801,1019,Children's Hospital Boston
1802,1020,Other
1803,1021,Beverly Hospital
1804,1021,Addison Gilbert Hospital
1805,1021,Cambridge Health Alliance
1806,1022,Harvard Vanguard Medical Associates
1807,1023,Massachusetts General Hospital
1808,1023,Cambridge Public Hlth Commission (The)
1809,1024,Baystate Medical Center
1810,1025,Cambridge Health Alliance - Cambridge Campus
1811,1026,Lahey Clinic
1812,1027,Lahey Clinic
1813,1028,Cooley Dickinson Hospital (The)
1814,1029,Lahey Clinic
1815,1030,Children's Hospital Boston
1816,1030,Lahey Clinic
1817,1031,Dana Farber Cancer Institute
1818,1032,Lahey Clinic
1819,1033,Children's Hospital Boston
1820,1033,Harvard Vanguard Medical Associates
1821,1034,South Shore Hospital
1822,1034,Harvard Vanguard Medical Associates
1823,1035,Cooley Dickinson Hospital (The)
1824,1036,Cooley Dickinson Hospital (The)
1825,1037,Lahey Clinic
1826,1038,Massachusetts General Hospital
1827,1038,Cambridge Health Alliance
1828,1039,Harvard Vanguard Medical Associates
1829,1039,Harvard Vanguard- Somerville
1830,1039,Beth Israel Deaconess Medical Center
1831,1040,Newton-Wellesley Hospital
1832,1040,Baystate Medical Center
1833,1041,Offfice/private practice
1834,1042,Private Office
1835,1043,Baystate Franklin Medical Center
1836,1043,Cooley Dickinson Hospital (The)
1837,1043,Berkshire Medical Center
1838,1044,Massachusetts General Hospital
1839,1044,Erich Lindemann Mental Health Center
1840,1045,Offfice/private practice
1841,1046,Cambridge Health Alliance - Whidden Campus
1842,1046,Cambridge Health Alliance - Cambridge Campus
1843,1047,Lahey Clinic
1844,1047,Harvard Vanguard- Peabody
1845,1047,Winchester Hospital
1846,1048,Lahey Clinic
1847,1049,Lahey Clinic
1848,1050,Other
1849,1051,Cambridge Health Alliance - Whidden Campus
1850,1051,Cambridge Health Alliance - Cambridge Campus
1851,1052,Winchester Hospital
1852,1052,Winchester Hospital
1853,1052,Blue Cross/Blue Shield of Mass
1854,1053,Mental Health Clinic
1855,1054,Milton Hospital
1856,1054,South Shore Hospital
1857,1055,Winchester Hospital
1858,1055,Children's Hospital Boston
1859,1056,Lahey Clinic
1860,1057,Other
1861,1057,Cambridge Public Hlth Commission (The)
1862,1058,Harvard Vanguard Medical Associates
1863,1059,Burlington OB-GYN Assoc.
1864,1059,Inc.
1865,1060,Lahey Clinic
1866,1060,VA Boston Health Care System
1867,1060,Lahey Clinic
1868,1061,Cambridge Health Alliance - Whidden Campus
1869,1061,Mount Auburn Hospital
1870,1061,Cambridge Health Alliance - Cambridge Campus
1871,1061,Winchester Hospital
1872,1062,Lahey Clinic
1873,1063,Mount Auburn Hospital
1874,1064,South Shore Hospital
1875,1065,Beth Israel Deaconess Medical Center
1876,1065,Cambridge Health Alliance
1877,1065,Mount Auburn Hospital
1878,1065,South Cove Community Health Center
1879,1066,Mount Auburn Hospital
